region,rank,pct
california,1,73.0
texas,2,86.0
florida,3,78.0
new york,4,72.0
illinois,5,77.0
pennsylvania,6,77.0
ohio,7,81.0
georgia,8,84.0
michigan,9,77.0
north carolina,10,84.0
new jersey,11,78.0
virginia,12,81.0
washington,13,67.0
massachusetts,14,63.0
arizona,15,75.0
indiana,16,78.0
tennessee,17,89.0
missouri,18,82.0
maryland,19,75.0
wisconsin,20,75.0
minnesota,21,74.0
colorado,22,75.0
alabama,23,90.0
south carolina,24,85.0
louisiana,25,90.0
kentucky,26,86.0
oregon,27,70.0
oklahoma,28,87.0
connecticut,29,69.0
iowa,30,79.0
mississippi,31,89.0
arkansas,32,86.0
utah,33,73.0
kansas,34,79.0
nevada,35,73.0
new mexico,36,79.0
nebraska,37,79.0
west virginia,38,86.0
idaho,39,76.0
hawaii,40,76.0
maine,41,63.0
new hampshire,42,60.0
rhode island,43,73.0
montana,44,69.0
delaware,45,77.0
south dakota,46,81.0
alaska,47,70.0
Â north dakota,48,76.0
vermont,49,57.0
wyoming,50,77.0
