year,race,networth,pctle,diff,nw07
2007,White,-36245.8700620307,1,0,-36245.8700620307
2010,White,-86436.7092552197,1,-50190.839193189,-36245.8700620307
2013,White,-85787.9069767442,1,-49542.0369147135,-36245.8700620307
2016,White,-71400,1,-35154.1299379693,-36245.8700620307
2007,White,-18539.8204374796,2,0,-18539.8204374796
2010,White,-53663.71143658461,2,-35123.890999105,-18539.8204374796
2013,White,-50647.8604651163,2,-32108.040027636696,-18539.8204374796
2016,White,-44300,2,-25760.1795625204,-18539.8204374796
2007,White,-11070.6235716618,3,0,-11070.6235716618
2010,White,-36254.7834216267,3,-25184.1598499649,-11070.6235716618
2013,White,-29180.261627907,3,-18109.6380562452,-11070.6235716618
2016,White,-29390,3,-18319.3764283382,-11070.6235716618
2007,White,-6832.28860594189,4,0,-6832.28860594189
2010,White,-23211.9040199439,4,-16379.615414002012,-6832.28860594189
2013,White,-19560.0552325581,4,-12727.766626616212,-6832.28860594189
2016,White,-20100,4,-13267.711394058111,-6832.28860594189
2007,White,-2316.0300359125,5,0,-2316.0300359125
2010,White,-15364.0698036772,5,-13048.0397677647,-2316.0300359125
2013,White,-12682.5872093023,5,-10366.557173389801,-2316.0300359125
2016,White,-11780,5,-9463.9699640875,-2316.0300359125
2007,White,-440.045706823376,6,0,-440.045706823376
2010,White,-9946.85353692739,6,-9506.807830104015,-440.045706823376
2013,White,-8321.01453488372,6,-7880.968828060343,-440.045706823376
2016,White,-7900,6,-7459.954293176624,-440.045706823376
2007,White,0,7,0,0
2010,White,-6079.30819569959,7,-6079.30819569959,0
2013,White,-4743.08139534884,7,-4743.08139534884,0
2016,White,-4600,7,-4600,0
2007,White,185.282402873,8,0,185.282402873
2010,White,-3371.25272670614,8,-3556.53512957914,185.282402873
2013,White,-2113.76453488372,8,-2299.04693775672,185.282402873
2016,White,-1900,8,-2085.282402873,185.282402873
2007,White,1158.01501795625,9,0,1158.01501795625
2010,White,-1215.86163913992,9,-2373.8766570961698,1158.01501795625
2013,White,0,9,-1158.01501795625,1158.01501795625
2016,White,-29,9,-1187.01501795625,1158.01501795625
2007,White,2200.22853411688,10,0,2200.22853411688
2010,White,0,10,-2200.22853411688,2200.22853411688
2013,White,72.1773255813954,10,-2128.0512085354844,2200.22853411688
2016,White,360,10,-1840.22853411688,2200.22853411688
2007,White,3242.44205027751,11,0,3242.44205027751
2010,White,44.2131505141789,11,-3198.2288997633314,3242.44205027751
2013,White,567.107558139535,11,-2675.3344921379753,3242.44205027751
2016,White,1050,11,-2192.44205027751,3242.44205027751
2007,White,4539.41887038851,12,0,4539.41887038851
2010,White,862.156435026488,12,-3677.262435362022,4539.41887038851
2013,White,1546.65697674419,12,-2992.7618936443205,4539.41887038851
2016,White,1800,12,-2739.41887038851,4539.41887038851
2007,White,5917.45674175645,13,0,5917.45674175645
2010,White,1879.0588968526,13,-4038.3978449038505,5917.45674175645
2013,White,2990.20348837209,13,-2927.2532533843605,5917.45674175645
2016,White,3172,13,-2745.4567417564504,5917.45674175645
2007,White,7179.69311132876,14,0,7179.69311132876
2010,White,3205.45341227797,14,-3974.23969905079,7179.69311132876
2013,White,3897.57558139535,14,-3282.11752993341,7179.69311132876
2016,White,4370,14,-2809.69311132876,7179.69311132876
2007,White,8569.31113287626,15,0,8569.31113287626
2010,White,4144.98286070427,15,-4424.328272171991,8569.31113287626
2013,White,4959.61337209302,15,-3609.6977607832405,8569.31113287626
2016,White,5450,15,-3119.3111328762607,8569.31113287626
2007,White,10063.1505060398,16,0,10063.1505060398
2010,White,5228.20504830165,16,-4834.945457738149,10063.1505060398
2013,White,6289.73837209302,16,-3773.4121339467792,10063.1505060398
2016,White,6630,16,-3433.1505060397994,10063.1505060398
2007,White,11927.554684949402,17,0,11927.554684949402
2010,White,6311.42723589903,17,-5616.127449050372,11927.554684949402
2013,White,7970.43895348837,17,-3957.115731461032,11927.554684949402
2016,White,8320,17,-3607.554684949402,11927.554684949402
2007,White,13618.2566111655,18,0,13618.2566111655
2010,White,7350.43627298224,18,-6267.82033818326,13618.2566111655
2013,White,9073.72093023256,18,-4544.5356809329405,13618.2566111655
2016,White,1e4,18,-3618.2566111654996,13618.2566111655
2007,White,16096.408749591901,19,0,16096.408749591901
2010,White,8444.71174820816,19,-7651.697001383742,16096.408749591901
2013,White,10022.3372093023,19,-6074.0715402896,16096.408749591901
2016,White,11410,19,-4686.408749591901,16096.408749591901
2007,White,18678.7822396343,20,0,18678.7822396343
2010,White,10069.5450296042,20,-8609.2372100301,18678.7822396343
2013,White,11343.1822674419,20,-7335.5999721924,18678.7822396343
2016,White,13450,20,-5228.7822396343,18678.7822396343
2007,White,22233.88834476,21,0,22233.88834476
2010,White,11617.0052976005,21,-10616.883047159497,22233.88834476
2013,White,12960.9854651163,21,-9272.902879643698,22233.88834476
2016,White,16400,21,-5833.888344759998,22233.88834476
2007,White,25233.1472412667,22,0,25233.1472412667
2010,White,13374.4780305391,22,-11858.6692107276,25233.1472412667
2013,White,14951.0174418605,22,-10282.129799406199,25233.1472412667
2016,White,18900,22,-6333.147241266699,25233.1472412667
2007,White,29216.7189030362,23,0,29216.7189030362
2010,White,15507.7625428482,23,-13708.956360187998,29216.7189030362
2013,White,17116.3372093023,23,-12100.3816937339,29216.7189030362
2016,White,21540,23,-7676.718903036199,29216.7189030362
2007,White,33003.4280117532,24,0,33003.4280117532
2010,White,17685.2602056715,24,-15318.167806081703,33003.4280117532
2013,White,19281.6569767442,24,-13721.771035009002,33003.4280117532
2016,White,23570,24,-9433.428011753203,33003.4280117532
2007,White,36593.2745674176,25,0,36593.2745674176
2010,White,20393.315674665,25,-16199.958892752598,36593.2745674176
2013,White,21405.7325581395,25,-15187.542009278095,36593.2745674176
2016,White,26680,25,-9913.274567417597,36593.2745674176
2007,White,41121.1132876265,26,0,41121.1132876265
2010,White,24051.9538797133,26,-17069.159407913197,41121.1132876265
2013,White,24024.738372093,26,-17096.374915533495,41121.1132876265
2016,White,29460,26,-11661.113287626496,41121.1132876265
2007,White,46216.379366634,27,0,46216.379366634
2010,White,27124.7678404487,27,-19091.611526185297,46216.379366634
2013,White,27066.4970930233,27,-19149.8822736107,46216.379366634
2016,White,32210,27,-14006.379366633999,46216.379366634
2007,White,50639.9967352269,28,0,50639.9967352269
2010,White,30020.729199127498,28,-20619.267536099404,50639.9967352269
2013,White,30634.119186046504,28,-20005.877549180397,50639.9967352269
2016,White,35561,28,-15078.996735226901,50639.9967352269
2007,White,55654.20176297751,29,0,55654.20176297751
2010,White,33049.3300093487,29,-22604.87175362881,55654.20176297751
2013,White,33201.5697674419,29,-22452.63199553561,55654.20176297751
2016,White,4e4,29,-15654.201762977507,55654.20176297751
2007,White,59753.5749265426,30,0,59753.5749265426
2010,White,36034.8229978186,30,-23718.751928724,59753.5749265426
2013,White,36604.2151162791,30,-23149.3598102635,59753.5749265426
2016,White,44500,30,-15253.574926542598,59753.5749265426
2007,White,64733.039503754495,31,0,64733.039503754495
2010,White,39791.835462761,31,-24941.204040993493,64733.039503754495
2013,White,39491.3081395349,31,-25241.731364219595,64733.039503754495
2016,White,49e3,31,-15733.039503754495,64733.039503754495
2007,White,69886.2063336598,32,0,69886.2063336598
2010,White,42942.0224368962,32,-26944.183896763592,69886.2063336598
2013,White,43203.2848837209,32,-26682.92144993889,69886.2063336598
2016,White,53560,32,-16326.206333659793,69886.2063336598
2007,White,75172.5448906301,33,0,75172.5448906301
2010,White,46534.3409161733,33,-28638.203974456803,75172.5448906301
2013,White,46915.261627907,33,-28257.283262723104,75172.5448906301
2016,White,59400,33,-15772.544890630103,75172.5448906301
2007,White,79787.2347371858,34,0,79787.2347371858
2010,White,50734.5902150203,34,-29052.64452216551,79787.2347371858
2013,White,52380.1162790698,34,-27407.118458116005,79787.2347371858
2016,White,63930,34,-15857.234737185805,79787.2347371858
2007,White,85287.806072478,35,0,85287.806072478
2010,White,55100.6388282954,35,-30187.167244182594,85287.806072478
2013,White,56308.625,35,-28979.181072477993,85287.806072478
2016,White,67550,35,-17737.806072477993,85287.806072478
2007,White,90000.9271955599,36,0,90000.9271955599
2010,White,58416.62511685879,36,-31584.302078701105,90000.9271955599
2013,White,60938.2848837209,36,-29062.642311838994,90000.9271955599
2016,White,72500,36,-17500.927195559896,90000.9271955599
2007,White,96636.3532484492,37,0,96636.3532484492
2010,White,62760.5671548769,37,-33875.7860935723,96636.3532484492
2013,White,65475.1453488372,37,-31161.207899612004,96636.3532484492
2016,White,79e3,37,-17636.353248449203,96636.3532484492
2007,White,102368.527587333,38,0,102368.527587333
2010,White,67093.4559052664,38,-35275.0716820666,102368.527587333
2013,White,70115.1162790698,38,-32253.411308263196,102368.527587333
2016,White,83100,38,-19268.527587332996,102368.527587333
2007,White,108760.770486451,39,0,108760.770486451
2010,White,70409.4421938298,39,-38351.3282926212,108760.770486451
2013,White,74796.3313953488,39,-33964.439091102206,108760.770486451
2016,White,88610,39,-20150.770486451,108760.770486451
2007,White,114759.288279465,40,0,114759.288279465
2010,White,74443.8921782487,40,-40315.396101216305,114759.288279465
2013,White,80075.5872093023,40,-34683.7010701627,114759.288279465
2016,White,94300,40,-20459.288279465007,114759.288279465
2007,White,120931.508325171,41,0,120931.508325171
2010,White,79141.5394203802,41,-41789.9689047908,120931.508325171
2013,White,84447.4709302326,41,-36484.03739493841,120931.508325171
2016,White,99900,41,-21031.508325171002,120931.508325171
2007,White,128076.460985961,42,0,128076.460985961
2010,White,84889.2489872234,42,-43187.211998737606,128076.460985961
2013,White,89262.7296511628,42,-38813.73133479821,128076.460985961
2016,White,104e3,42,-24076.460985961006,128076.460985961
2007,White,134792.948090108,43,0,134792.948090108
2010,White,89918.49485821128,43,-44874.45323189671,134792.948090108
2013,White,93521.1918604651,43,-41271.756229642895,134792.948090108
2016,White,110360,43,-24432.948090107995,134792.948090108
2007,White,142551.648710415,44,0,142551.648710415
2010,White,94726.6749766282,44,-47824.9737337868,142551.648710415
2013,White,101306.031976744,44,-41245.616733671006,142551.648710415
2016,White,115e3,44,-27551.648710415,142551.648710415
2007,White,151120.959843291,45,0,151120.959843291
2010,White,100872.302898099,45,-50248.65694519199,151120.959843291
2013,White,108523.764534884,45,-42597.195308407,151120.959843291
2016,White,122750,45,-28370.959843291,151120.959843291
2007,White,157872.187397976,46,0,157872.187397976
2010,White,107437.955749455,46,-50434.231648521,157872.187397976
2013,White,114658.837209302,46,-43213.350188674,157872.187397976
2016,White,130130,46,-27742.187397976,157872.187397976
2007,White,164090.728044401,47,0,164090.728044401
2010,White,114887.87161109401,47,-49202.856433306995,164090.728044401
2013,White,119608.139534884,47,-44482.58850951701,164090.728044401
2016,White,140100,47,-23990.72804440101,164090.728044401
2007,White,170112.406137773,48,0,170112.406137773
2010,White,121807.229666563,48,-48305.17647121001,170112.406137773
2013,White,125753.52325581398,48,-44358.88288195903,170112.406137773
2016,White,147100,48,-23012.40613777301,170112.406137773
2007,White,180881.945804767,49,0,180881.945804767
2010,White,128925.546899346,49,-51956.398905420996,180881.945804767
2013,White,131981.395348837,49,-48900.55045593,180881.945804767
2016,White,154900,49,-25981.94580476699,180881.945804767
2007,White,189011.211230819,50,0,189011.211230819
2010,White,136375.462760985,50,-52635.74846983398,189011.211230819
2013,White,138405.177325581,50,-50606.033905238,189011.211230819
2016,White,162770,50,-26241.211230818997,189011.211230819
2007,White,196584.629448253,51,0,196584.629448253
2010,White,142941.11561234,51,-53643.51383591298,196584.629448253
2013,White,147705.74127907,51,-48878.88816918299,196584.629448253
2016,White,171450,51,-25134.629448252992,196584.629448253
2007,White,207574.191968658,52,0,207574.191968658
2010,White,151430.040511063,52,-56144.151457595,207574.191968658
2013,White,154356.36627907,52,-53217.825689588004,207574.191968658
2016,White,179750,52,-27824.191968658008,207574.191968658
2007,White,217069.915115899,53,0,217069.915115899
2010,White,156956.684325335,53,-60113.230790564005,217069.915115899
2013,White,163842.52906976698,53,-53227.386046132015,217069.915115899
2016,White,187500,53,-29569.915115899,217069.915115899
2007,White,227109.90532158,54,0,227109.90532158
2010,White,166351.978809598,54,-60757.92651198202,227109.90532158
2013,White,171163.372093023,54,-55946.533228557004,227109.90532158
2016,White,194200,54,-32909.90532158001,227109.90532158
2007,White,236547.727717924,55,0,236547.727717924
2010,White,173978.747273294,55,-62568.98044463,236547.727717924
2013,White,181268.197674419,55,-55279.53004350499,236547.727717924
2016,White,203200,55,-33347.72771792399,236547.727717924
2007,White,246193.992817499,56,0,246193.992817499
2010,White,182257.659707074,56,-63936.33311042501,246193.992817499
2013,White,190259.430232558,56,-55934.56258494101,246193.992817499
2016,White,214e3,56,-32193.992817499005,246193.992817499
2007,White,256268.723473719,57,0,256268.723473719
2010,White,191221.875973824,57,-65046.847499895,256268.723473719
2013,White,198487.645348837,57,-57781.07812488201,256268.723473719
2016,White,223200,57,-33068.723473719,256268.723473719
2007,White,267837.293503102,58,0,267837.293503102
2010,White,202717.29510751,58,-65119.998395591974,267837.293503102
2013,White,207303.590116279,58,-60533.70338682298,267837.293503102
2016,White,230100,58,-37737.29350310197,267837.293503102
2007,White,276997.192295135,59,0,276997.192295135
2010,White,213770.582736055,59,-63226.60955908001,276997.192295135
2013,White,215944.247093023,59,-61052.945202111994,276997.192295135
2016,White,239100,59,-37897.192295135,276997.192295135
2007,White,286492.915442377,60,0,286492.915442377
2010,White,223718.541601745,60,-62774.373840631975,286492.915442377
2013,White,223749.709302326,60,-62743.206140050985,286492.915442377
2016,White,249250,60,-37242.91544237698,286492.915442377
2007,White,294830.623571662,61,0,294830.623571662
2010,White,235390.81333748804,61,-59439.81023417396,294830.623571662
2013,White,234266.976744186,61,-60563.64682747601,294830.623571662
2016,White,261e3,61,-33830.623571662,294830.623571662
2007,White,305947.567744042,62,0,305947.567744042
2010,White,247593.642879402,62,-58353.92486464002,305947.567744042
2013,White,247062.985465116,62,-58884.58227892601,305947.567744042
2016,White,271790,62,-34157.567744042026,305947.567744042
2007,White,321939.755142018,63,0,321939.755142018
2010,White,262073.449672795,63,-59866.305469223036,321939.755142018
2013,White,258446.380813953,63,-63493.37432806502,321939.755142018
2016,White,282340,63,-39599.755142018024,321939.755142018
2007,White,333624.126673196,64,0,333624.126673196
2010,White,273734.66812091,64,-59889.45855228597,333624.126673196
2013,White,267473.702034884,64,-66150.42463831196,333624.126673196
2016,White,297e3,64,-36624.12667319598,333624.126673196
2007,White,347230.803134182,65,0,347230.803134182
2010,White,285373.779993768,65,-61857.02314041398,347230.803134182
2013,White,279016.918604651,65,-68213.884529531,347230.803134182
2016,White,311500,65,-35730.803134182,347230.803134182
2007,White,360026.869082599,66,0,360026.869082599
2010,White,298538.245559364,66,-61488.62352323503,360026.869082599
2013,White,289843.51744186,66,-70183.35164073901,360026.869082599
2016,White,320930,66,-39096.869082599005,360026.869082599
2007,White,373517.744041789,67,0,373517.744041789
2010,White,310529.957307572,67,-62987.78673421696,373517.744041789
2013,White,302422.994186047,67,-71094.74985574197,373517.744041789
2016,White,338700,67,-34817.744041788974,373517.744041789
2007,White,387587.626509958,68,0,387587.626509958
2010,White,321650.669990651,68,-65936.95651930699,387587.626509958
2013,White,315827.354651163,68,-71760.27185879502,387587.626509958
2016,White,357500,68,-30087.626509958005,387587.626509958
2007,White,400638.455762325,69,0,400638.455762325
2010,White,336019.943907759,69,-64618.51185456599,400638.455762325
2013,White,332531.25,69,-68107.20576232497,400638.455762325
2016,White,379600,69,-21038.45576232497,400638.455762325
2007,White,421749.069539667,70,0,421749.069539667
2010,White,357684.387659707,70,-64064.68187996,421749.069539667
2013,White,348925.813953488,70,-72823.25558617897,421749.069539667
2016,White,400100,70,-21649.06953966699,421749.069539667
2007,White,437984.440091414,71,0,437984.440091414
2010,White,375369.647865379,71,-62614.79222603503,437984.440091414
2013,White,370166.569767442,71,-67817.87032397202,437984.440091414
2016,White,414598.6,71,-23385.84009141405,437984.440091414
2007,White,455099.902056807,72,0,455099.902056807
2010,White,396205.095045185,72,-58894.807011622004,455099.902056807
2013,White,390066.889534884,72,-65033.012521922996,455099.902056807
2016,White,436400,72,-18699.902056807012,455099.902056807
2007,White,473998.707149853,73,0,473998.707149853
2010,White,418919.601121845,73,-55079.106028007984,473998.707149853
2013,White,407286.337209302,73,-66712.369940551,473998.707149853
2016,White,460250,73,-13748.707149852999,473998.707149853
2007,White,501073.09826967,74,0,501073.09826967
2010,White,440915.643502649,74,-60157.454767021,501073.09826967
2013,White,424536.718023256,74,-76536.38024641399,501073.09826967
2016,White,486e3,74,-15073.09826966998,501073.09826967
2007,White,522959.582109043,75,0,522959.582109043
2010,White,462248.48862574,75,-60711.09348330303,522959.582109043
2013,White,448221.191860465,75,-74738.39024857804,522959.582109043
2016,White,517780,75,-5179.582109043025,522959.582109043
2007,White,561637.283708782,76,0,561637.283708782
2010,White,480165.86787161103,76,-81471.41583717102,561637.283708782
2013,White,468430.843023256,76,-93206.44068552606,561637.283708782
2016,White,549600,76,-12037.283708782052,561637.283708782
2007,White,591456.170421156,77,0,591456.170421156
2010,White,503532.517918355,77,-87923.65250280098,591456.170421156
2013,White,495662.316860465,77,-95793.853560691,591456.170421156
2016,White,586765,77,-4691.1704211559845,591456.170421156
2007,White,619190.630101208,78,0,619190.630101208
2010,White,534205.391087566,78,-84985.23901364196,619190.630101208
2013,White,531225.11627907,78,-87965.51382213796,619190.630101208
2016,White,616590,78,-2600.630101207993,619190.630101208
2007,White,654394.286647078,79,0,654394.286647078
2010,White,569907.510127766,79,-84486.77651931194,654394.286647078
2013,White,579377.703488372,79,-75016.58315870597,654394.286647078
2016,White,658500,79,4105.713352922001,654394.286647078
2007,White,684618.478615736,80,0,684618.478615736
2010,White,604062.168899969,80,-80556.30971576704,684618.478615736
2013,White,612991.715116279,80,-71626.76349945704,684618.478615736
2016,White,698700,80,14081.521384263993,684618.478615736
2007,White,718085.1126346721,81,0,718085.1126346721
2010,White,641422.28108445,81,-76662.83155022212,718085.1126346721
2013,White,647946.162790698,81,-70138.94984397409,718085.1126346721
2016,White,753e3,81,34914.887365327915,718085.1126346721
2007,White,756531.211230819,82,0,756531.211230819
2010,White,680993.05079464,82,-75538.16043617902,756531.211230819
2013,White,683828.604651163,82,-72702.60657965601,756531.211230819
2016,White,811200,82,54668.788769181,756531.211230819
2007,White,784091.968658178,83,0,784091.968658178
2010,White,726200.997195388,83,-57890.97146279004,784091.968658178
2013,White,722391.918604651,83,-61700.050053527,784091.968658178
2016,White,866300,83,82208.031341822,784091.968658178
2007,White,823001.273261508,84,0,823001.273261508
2010,White,775730.779058897,84,-47270.49420261092,823001.273261508
2013,White,772916.046511628,84,-50085.22674988001,823001.273261508
2016,White,941040,84,118038.72673849203,823001.273261508
2007,White,872216.911524649,85,0,872216.911524649
2010,White,855524.462449361,85,-16692.449075288023,872216.911524649
2013,White,825811.715116279,85,-46405.196408370044,872216.911524649
2016,White,1015e3,85,142783.088475351,872216.911524649
2007,White,929886.0594188701,86,0,929886.0594188701
2010,White,937307.737612964,86,7421.678194093867,929886.0594188701
2013,White,881078.924418605,86,-48807.13500026509,929886.0594188701
2016,White,1099500,86,169613.94058112986,929886.0594188701
2007,White,975453.950375449,87,0,975453.950375449
2010,White,1026629.35493923,87,51175.40456378099,975453.950375449
2013,White,971506.802325581,87,-3947.148049868061,975453.950375449
2016,White,1187570,87,212116.04962455097,975453.950375449
2007,White,1059583.74142997,88,0,1059583.74142997
2010,White,1118603.76129635,88,59020.01986638014,1059583.74142997
2013,White,1043684.12790698,88,-15899.613522989908,1059583.74142997
2016,White,1286800,88,227216.2585700301,1059583.74142997
2007,White,1156914.90368919,89,0,1156914.90368919
2010,White,1232883.70208788,89,75968.79839869007,1156914.90368919
2013,White,1133802.6744186,89,-23112.229270590004,1156914.90368919
2016,White,1397100,89,240185.09631080995,1156914.90368919
2007,White,1253921.82174339,90,0,1253921.82174339
2010,White,1365302.08787784,90,111380.26613444998,1253921.82174339
2013,White,1233201.1627907,90,-20720.658952689962,1253921.82174339
2016,White,1540700,90,286778.17825660994,1253921.82174339
2007,White,1341560.39830232,91,0,1341560.39830232
2010,White,1527343.28451231,91,185782.88620999013,1341560.39830232
2013,White,1379514.9127907,91,37954.51448838017,1341560.39830232
2016,White,1728e3,91,386439.6016976801,1341560.39830232
2007,White,1563436.07574274,92,0,1563436.07574274
2010,White,1728955.25085696,92,165519.17511422,1563436.07574274
2013,White,1552843.60465116,92,-10592.471091579879,1563436.07574274
2016,White,1986400,92,422963.92425726005,1563436.07574274
2007,White,1875196.87887692,93,0,1875196.87887692
2010,White,1939863.0320972297,93,64666.15322030964,1875196.87887692
2013,White,1788760.34883721,93,-86436.53003970999,1875196.87887692
2016,White,2288e3,93,412803.1211230799,1875196.87887692
2007,White,2292638.13254979,94,0,2292638.13254979
2010,White,2181808.44499844,94,-110829.68755135033,2292638.13254979
2013,White,2078191.4244186,94,-214446.70813119016,2292638.13254979
2016,White,2549500,94,256861.8674502098,2292638.13254979
2007,White,2765687.26738492,95,0,2765687.26738492
2010,White,2547757.430748925,95,-217929.83663599472,2765687.26738492
2013,White,2520329.09883721,95,-245358.16854770994,2765687.26738492
2016,White,2939e3,95,173312.7326150802,2765687.26738492
2007,White,3525229.31766242,96,0,3525229.31766242
2010,White,3067928.40760361,96,-457300.9100588104,3525229.31766242
2013,White,3173224.56395349,96,-352004.7537089302,3525229.31766242
2016,White,3657400,96,132170.68233757978,3525229.31766242
2007,White,4639008.16193275,97,0,4639008.16193275
2010,White,4179844.9298847,97,-459163.23204804957,4639008.16193275
2013,White,4133698.54651163,97,-505309.6154211196,4639008.16193275
2016,White,5047405,97,408396.8380672503,4639008.16193275
2007,White,6847111.19817173,98,0,6847111.19817173
2010,White,5648561.57681521,98,-1198549.6213565199,6847111.19817173
2013,White,5994646.53197674,98,-852464.6661949903,6847111.19817173
2016,White,7696400,98,849288.8018282698,6847111.19817173
2007,White,10801964.0874959,99,0,10801964.0874959
2010,White,9308968.30788408,99,-1492995.7796118204,10801964.0874959
2013,White,9725172.84883721,99,-1076791.2386586908,10801964.0874959
2016,White,12206400,99,1404435.9125040993,10801964.0874959
2007,White,1634511768.8685715,100,0,1634511768.8685715
2010,White,1209214191.96011,100,-425297576.9084616,1634511768.8685715
